23356	35497	3	70.2
102	829	96	165.63
103	953	27	11.11
5180	7131	3	42.32
191	165	10	4.11
2801	102	16	16.09
256	680	5	15.51
7736	6168	3	44.22
1813	148	3	5.65
8716	14	13	22.68
134	4062	8	38.06
15176	1039	4	52.66
1653	274	7	39.78
127	828	8	8.5
731	3289	4	33.05
284	3066	4	24.29
2077	439	4	24.4
12953	119	11	83.43
14282	4457	6	103.33
37678	104	3	15.04
5084	102	9	11.06
109	42693	4	30.04
17633	14	4	5.14
122	853	70	336.75
121	2963	3	4.32
1840	534	3	17.27
125	3523	35	240.57
307	1191	3	11.02
123	3771	15	76.27
119	2222	9	22.27
125	7994	15	109.36
126	8109	5	25.11
22456	2020	3	45.25
121	4449	6	21.15
4102	712	11	119.33
557	9	15	9.6
1577	112	6	5.11
3323	414	3	19.57
6459	4146	3	39.76
138	2189	6	18.06
4219	1090	6	63.54
136	2930	6	21.61
140	1331	28	140.39
101	30840	4	12.63
198	910	3	6.06
16595	8	4	21.51
8	866	23	41.9
1528	136	6	13.6
510	138	116	676.46
3607	120	22	123.23
138	4796	6	28.9
509	510	3	9.24
106	5641	11	27.71
50210	27451	4	107.22
9294	14	8	8.47
107	7751	4	7.06
4147	3131	4	48.12
8274	12	6	5.69
221	12401	3	25.16
2342	2686	3	29.07
20597	187	12	161.75
138	17536	7	62.02
684	1809	3	18.51
3297	2355	3	30.64
237	1900	3	11.8
241	386	6	12.8
332	374	28	158.81
11803	108	3	7.49
6821	105	12	36.74
2003	103	21	23.1
4042	14	24	26.76
3019	12	18	13.16
469	284	7	22.66
115	7358	3	9.02
2480	3137	5	56.28
319	8782	3	25.19
501	157	30	117.84
130	11001	6	38.86
529	505	6	26.67
2063	1096	4	32.22
104	10399	3	4.39
16806	14	5	7.92
2511	1769	3	26.72
103	8385	4	4.99
102	8773	6	10.36
7176	101	13	20.19
941	106	26	15.95
15648	14	6	10.38
13608	103	4	9.36
138	23893	3	23.58
144	5263	6	31.95
528	172	8	16.05
101	11622	8	14.74
109	20958	4	19.2
114	596	24	35.77
3174	964	3	24.59
209	806	4	9.75
1164	124	10	19.2
102	15344	4	9.4
3202	120	4	8.08
52717	16	4	50.28
11839	103	3	4.65
19068	598	3	36.12
436	4252	3	21.69
8763	12	30	139.84
114	2183	5	5.83
18855	111	3	15.55
2378	9373	4	54.25
7214	185	4	27.55
109	7654	9	32.33
5111	12	9	5.94
8174	103	5	7.87
354	236	11	32.56
7148	105	4	4.83
6132	14	9	4.26
37633	14	3	8.56
3834	570	24	285.97
771	850	3	14.39
142	3521	5	19.62
7316	649	3	28.36
3807	14	16	7.13
50699	14	3	12.11
110	821	32	66.99
198	157	90	342.78
26369	24098	3	66.3
102	32421	3	12.04
101	26672	3	6.67
383	153	10	12.7
106	6731	8	18.71
25410	67073	3	79.19
8817	107	3	4.73
10292	14	12	24.68
296	181	32	115.08
141	2656	8	32.22
229	1275	3	9.31
137	3215	3	7.69
15189	107	3	8.76
142	674	9	15.38
20205	101	4	7.64
17140	102	13	74.29
2147	637	40	471.57
708	162	4	4.73
109	403	28	5.13
190	9326	3	21.32
745	6215	21	284.25
8837	2	3	7.16
5644	14	24	44.56
403	770	5	21.55
1458	111	12	20.7
2477	107	16	27.85
205	4576	6	41.76
18371	107	3	10.11
24540	12	3	6.71
16	5569	5	26.24
115	1024	16	30.09
2214	328	3	15.06
102	15778	3	5.72
16	1857	3	5.54
8	17295	3	14.63
2884	1085	8	81.81
35375	14	5	22.19
1254	103	34	37.28
33333	103	4	20.62
237	744	3	6.35
2280	12	36	45.55
273	572	32	208.09
499	6911	18	227.92
1643	499	79	961.89
271	3787	3	17.61
